날짜,원/미국달러,기준금리,dubai,총지수
2023-02-17,1283.7,3.5,82.07,110.33
2023-02-18,1283.7,3.5,82.07,110.33
2023-02-19,1283.7,3.5,82.07,110.33
2023-02-20,1297.7,3.5,82.07,110.33
2023-02-21,1295.8,3.5,80.49,110.33
2023-02-22,1295.8,3.5,78.38,110.33
2023-02-23,1303.8,3.5,80.06,110.33
2023-02-24,1299.6,3.5,81.2,110.33
2023-02-25,1299.6,3.5,81.2,110.33
2023-02-26,1299.6,3.5,81.2,110.33
2023-02-27,1300.5,3.5,80.26,110.33
2023-02-28,1317.4,3.5,81.43,110.33
2023-03-01,1317.4,3.5,82.34,110.52
2023-03-02,1319.2,3.5,83.06,110.52
2023-03-03,1310.4,3.5,84.31,110.52
2023-03-04,1310.4,3.5,84.31,110.52
2023-03-05,1310.4,3.5,84.31,110.52
2023-03-06,1304.8,3.5,84.4,110.52
2023-03-07,1296.7,3.5,82.07,110.52
2023-03-08,1299.1,3.5,81.97,110.52
2023-03-09,1319.5,3.5,81.24,110.52
2023-03-10,1319.7,3.5,82.16,110.52
2023-03-11,1319.7,3.5,82.16,110.52
2023-03-12,1319.7,3.5,82.16,110.52
2023-03-13,1325.7,3.5,81.01,110.52
2023-03-14,1307.3,3.5,79.2,110.52
2023-03-15,1304.9,3.5,77.25,110.52
2023-03-16,1302.0,3.5,77.85,110.52
2023-03-17,1312.1,3.5,77.14,110.52
2023-03-18,1312.1,3.5,77.14,110.52
2023-03-19,1312.1,3.5,77.14,110.52
2023-03-20,1303.6,3.5,77.37,110.52
2023-03-21,1308.4,3.5,77.97,110.52
2023-03-22,1307.8,3.5,78.35,110.52
2023-03-23,1307.1,3.5,78.13,110.52
2023-03-24,1287.2,3.5,74.1,110.52
2023-03-25,1287.2,3.5,74.1,110.52
2023-03-26,1287.2,3.5,74.1,110.52
2023-03-27,1289.7,3.5,77.14,110.52
2023-03-28,1300.3,3.5,77.31,110.52
2023-03-29,1297.4,3.5,76.77,110.52
2023-03-30,1299.3,3.5,77.77,110.52
2023-03-31,1303.8,3.5,79.39,110.52
2023-04-01,1303.8,3.5,79.39,110.77
2023-04-02,1303.8,3.5,79.39,110.77
2023-04-03,1295.4,3.5,84.69,110.77
2023-04-04,1316.3,3.5,84.47,110.77
2023-04-05,1310.3,3.5,84.59,110.77
2023-04-06,1311.9,3.5,84.99,110.77
2023-04-07,1318.7,3.5,84.99,110.77
2023-04-08,1318.7,3.5,84.99,110.77
2023-04-09,1318.7,3.5,84.99,110.77
2023-04-10,1318.9,3.5,84.28,110.77
2023-04-11,1320.0,3.5,85.19,110.77
2023-04-12,1319.5,3.5,86.35,110.77
2023-04-13,1324.2,3.5,85.61,110.77
2023-04-14,1318.0,3.5,85.64,110.77
2023-04-15,1318.0,3.5,85.64,110.77
2023-04-16,1318.0,3.5,85.64,110.77
2023-04-17,1299.3,3.5,84.95,110.77
2023-04-18,1311.3,3.5,85.0,110.77
2023-04-19,1318.8,3.5,84.36,110.77
2023-04-20,1318.8,3.5,83.55,110.77
2023-04-21,1327.6,3.5,80.82,110.77
2023-04-22,1327.6,3.5,80.82,110.77
2023-04-23,1327.6,3.5,80.82,110.77
2023-04-24,1327.9,3.5,81.81,110.77
2023-04-25,1332.7,3.5,79.95,110.77
2023-04-26,1333.3,3.5,76.75,110.77
2023-04-27,1337.3,3.5,77.48,110.77
2023-04-28,1339.9,3.5,80.26,110.77
2023-04-29,1339.9,3.5,80.26,110.77
2023-04-30,1339.9,3.5,80.26,110.77
2023-05-01,1339.9,3.5,79.24,111.13
2023-05-02,1339.1,3.5,75.01,111.13
2023-05-03,1340.2,3.5,72.28,111.13
2023-05-04,1339.1,3.5,72.5,111.13
2023-05-05,1339.1,3.5,74.88,111.13
2023-05-06,1339.1,3.5,74.88,111.13
2023-05-07,1339.1,3.5,74.88,111.13
2023-05-08,1325.6,3.5,76.25,111.13
2023-05-09,1322.7,3.5,76.55,111.13
2023-05-10,1323.0,3.5,75.64,111.13
2023-05-11,1324.2,3.5,74.74,111.13
2023-05-12,1320.3,3.5,74.01,111.13
2023-05-13,1320.3,3.5,74.01,111.13
2023-05-14,1320.3,3.5,74.01,111.13
2023-05-15,1333.6,3.5,74.54,111.13
2023-05-16,1337.8,3.5,74.42,111.13
2023-05-17,1336.0,3.5,75.18,111.13
2023-05-18,1339.4,3.5,74.76,111.13
2023-05-19,1332.7,3.5,74.61,111.13
2023-05-20,1332.7,3.5,74.61,111.13
2023-05-21,1332.7,3.5,74.61,111.13
2023-05-22,1331.2,3.5,74.77,111.13
2023-05-23,1319.1,3.5,74.99,111.13
2023-05-24,1311.4,3.5,76.78,111.13
2023-05-25,1317.5,3.5,74.66,111.13
2023-05-26,1323.4,3.5,75.51,111.13
2023-05-27,1323.4,3.5,75.51,111.13
2023-05-28,1323.4,3.5,75.51,111.13
2023-05-29,1323.4,3.5,75.51,111.13
2023-05-30,1325.6,3.5,72.08,111.13
2023-05-31,1322.2,3.5,70.94,111.13
2023-06-01,1321.6,3.5,72.75,111.16
2023-06-02,1320.7,3.5,74.41,111.16
2023-06-03,1320.7,3.5,74.41,111.16
2023-06-04,1320.7,3.5,74.41,111.16
2023-06-05,1308.8,3.5,75.14,111.16
2023-06-06,1308.8,3.5,75.5,111.16
2023-06-07,1308.3,3.5,75.83,111.16
2023-06-08,1300.5,3.5,75.2,111.16
2023-06-09,1306.1,3.5,74.38,111.16
2023-06-10,1306.1,3.5,74.38,111.16
2023-06-11,1306.1,3.5,74.38,111.16
2023-06-12,1294.9,3.5,72.41,111.16
2023-06-13,1291.1,3.5,73.89,111.16
2023-06-14,1277.5,3.5,73.42,111.16
2023-06-15,1275.9,3.5,74.69,111.16
2023-06-16,1280.1,3.5,75.2,111.16
2023-06-17,1280.1,3.5,75.2,111.16
