날짜          총지수
2024-07-23   114.13
2024-07-24   114.13
2024-07-25   114.13
2024-07-26   114.13
2024-07-27   114.13
2024-07-28   114.13
2024-07-29   114.13
2024-07-30   114.13
2024-07-31   114.13
2024-08-01   114.54
2024-08-02   114.54
2024-08-03   114.54
2024-08-04   114.54
2024-08-05   114.54
2024-08-06   114.54
2024-08-07   114.54
2024-08-08   114.54
2024-08-09   114.54
2024-08-10   114.54
2024-08-11   114.54
2024-08-12   114.54
2024-08-13   114.54
2024-08-14   114.54
2024-08-15   114.54
2024-08-16   114.54
2024-08-17   114.54
2024-08-18   114.54
2024-08-19   114.54
2024-08-20   114.54
2024-08-21   114.54
2024-08-22   114.54
2024-08-23   114.54
2024-08-24   114.54
2024-08-25   114.54
2024-08-26   114.54
2024-08-27   114.54
2024-08-28   114.54
2024-08-29   114.54
2024-08-30   114.54
2024-08-31   114.54
2024-09-01   114.65
2024-09-02   114.65
2024-09-03   114.65
2024-09-04   114.65
2024-09-05   114.65
2024-09-06   114.65
2024-09-07   114.65
2024-09-08   114.65
2024-09-09   114.65
2024-09-10   114.65
2024-09-11   114.65
2024-09-12   114.65
2024-09-13   114.65
2024-09-14   114.65
2024-09-15   114.65
2024-09-16   114.65
2024-09-17   114.65
2024-09-18   114.65
2024-09-19   114.65
2024-09-20   114.65
2024-09-21   114.65
2024-09-22   114.65
2024-09-23   114.65
2024-09-24   114.65
2024-09-25   114.65
2024-09-26   114.65
2024-09-27   114.65
2024-09-28   114.65
2024-09-29   114.65
2024-09-30   114.65
2024-10-01   114.69
2024-10-02   114.69
2024-10-03   114.69
2024-10-04   114.69
2024-10-05   114.69
2024-10-06   114.69
2024-10-07   114.69
2024-10-08   114.69
2024-10-09   114.69
2024-10-10   114.69
2024-10-11   114.69
2024-10-12   114.69
2024-10-13   114.69
2024-10-14   114.69
2024-10-15   114.69
2024-10-16   114.69
2024-10-17   114.69
2024-10-18   114.69
2024-10-19   114.69
2024-10-20   114.69
2024-10-21   114.69
2024-10-22   114.69
2024-10-23   114.69
2024-10-24   114.69
2024-10-25   114.69
2024-10-26   114.69
2024-10-27   114.69
2024-10-28   114.69
2024-10-29   114.69
2024-10-30   114.69
2024-10-31   114.69
2024-11-01   114.40
2024-11-02   114.40
2024-11-03   114.40
2024-11-04   114.40
2024-11-05   114.40
2024-11-06   114.40
2024-11-07   114.40
2024-11-08   114.40
2024-11-09   114.40
2024-11-10   114.40
2024-11-11   114.40
2024-11-12   114.40
2024-11-13   114.40
2024-11-14   114.40
2024-11-15   114.40
2024-11-16   114.40
2024-11-17   114.40
2024-11-18   114.40
2024-11-19   114.40
2024-11-20   114.40
2024-11-21   114.40
2024-11-22   114.40
2024-11-23   114.40
2024-11-24   114.40
2024-11-25   114.40
2024-11-26   114.40
2024-11-27   114.40
2024-11-28   114.40
2024-11-29   114.40
2024-11-30   114.40
2024-12-01   114.91
2024-12-02   114.91
2024-12-03   114.91
2024-12-04   114.91
2024-12-05   114.91
2024-12-06   114.91
2024-12-07   114.91
2024-12-08   114.91
2024-12-09   114.91
2024-12-10   114.91
2024-12-11   114.91
2024-12-12   114.91
2024-12-13   114.91
2024-12-14   114.91
2024-12-15   114.91
2024-12-16   114.91
2024-12-17   114.91
2024-12-18   114.91
2024-12-19   114.91
2024-12-20   114.91
2024-12-21   114.91
2024-12-22   114.91
2024-12-23   114.91
2024-12-24   114.91
2024-12-25   114.91
2024-12-26   114.91
2024-12-27   114.91
2024-12-28   114.91
2024-12-29   114.91
2024-12-30   114.91
2024-12-31   114.91
2025-01-01   115.71
2025-01-02   115.71
2025-01-03   115.71
2025-01-04   115.71
2025-01-05   115.71
2025-01-06   115.71
2025-01-07   115.71
2025-01-08   115.71
2025-01-09   115.71
2025-01-10   115.71
2025-01-11   115.71
2025-01-12   115.71
2025-01-13   115.71
2025-01-14   115.71
2025-01-15   115.71
2025-01-16   115.71
2025-01-17   115.71
2025-01-18   115.71
2025-01-19   115.71
2025-01-20   115.71
2025-01-21   115.71
2025-01-22   115.71
2025-01-23   115.71
2025-01-24   115.71
2025-01-25   115.71
2025-01-26   115.71
2025-01-27   115.71
2025-01-28   115.71
2025-01-29   115.71
2025-01-30   115.71
2025-01-31   115.71
2025-02-01   116.08
2025-02-02   116.08
2025-02-03   116.08
2025-02-04   116.08
2025-02-05   116.08
2025-02-06   116.08
2025-02-07   116.08
2025-02-08   116.08
2025-02-09   116.08
2025-02-10   116.08
2025-02-11   116.08
2025-02-12   116.08
2025-02-13   116.08
2025-02-14   116.08
2025-02-15   116.08
2025-02-16   116.08
2025-02-17   116.08
2025-02-18   116.08
2025-02-19   116.08
2025-02-20   116.08
2025-02-21   116.08
2025-02-22   116.08
2025-02-23   116.08
2025-02-24   116.08
2025-02-25   116.08
2025-02-26   116.08
2025-02-27   116.08
2025-02-28   116.08
2025-03-01   116.29
2025-03-02   116.29
2025-03-03   116.29
2025-03-04   116.29
2025-03-05   116.29
2025-03-06   116.29
2025-03-07   116.29
2025-03-08   116.29
2025-03-09   116.29
2025-03-10   116.29
2025-03-11   116.29
2025-03-12   116.29
2025-03-13   116.29
2025-03-14   116.29
2025-03-15   116.29
2025-03-16   116.29
2025-03-17   116.29
2025-03-18   116.29
2025-03-19   116.29
2025-03-20   116.29
2025-03-21   116.29
2025-03-22   116.29
2025-03-23   116.29
2025-03-24   116.29
2025-03-25   116.29
2025-03-26   116.29
2025-03-27   116.29
2025-03-28   116.29
2025-03-29   116.29
2025-03-30   116.29
2025-03-31   116.29
2025-04-01   116.38
2025-04-02   116.38
2025-04-03   116.38
2025-04-04   116.38
2025-04-05   116.38
2025-04-06   116.38
2025-04-07   116.38
2025-04-08   116.38
2025-04-09   116.38
2025-04-10   116.38
2025-04-11   116.38
2025-04-12   116.38
2025-04-13   116.38
2025-04-14   116.38
2025-04-15   116.38
2025-04-16   116.38
2025-04-17   116.38
2025-04-18   116.38
2025-04-19   116.38
2025-04-20   116.38
2025-04-21   116.38
2025-04-22   116.38
2025-04-23   116.38
2025-04-24   116.38
2025-04-25   116.38
2025-04-26   116.38
2025-04-27   116.38
2025-04-28   116.38
2025-04-29   116.38
2025-04-30   116.38
2025-05-01   116.27
2025-05-02   116.27
2025-05-03   116.27
2025-05-04   116.27
2025-05-05   116.27
2025-05-06   116.27
2025-05-07   116.27
2025-05-08   116.27
2025-05-09   116.27
2025-05-10   116.27
2025-05-11   116.27
2025-05-12   116.27
2025-05-13   116.27
2025-05-14   116.27
2025-05-15   116.27
2025-05-16   116.27
2025-05-17   116.27
2025-05-18   116.27
2025-05-19   116.27
2025-05-20   116.27
2025-05-21   116.27
2025-05-22   116.27
2025-05-23   116.27
2025-05-24   116.27
2025-05-25   116.27
2025-05-26   116.27
2025-05-27   116.27
2025-05-28   116.27
2025-05-29   116.27
2025-05-30   116.27
2025-05-31   116.27
2025-06-01   116.31
2025-06-02   116.31
2025-06-03   116.31
2025-06-04   116.31
2025-06-05   116.31
2025-06-06   116.31
2025-06-07   116.31
2025-06-08   116.31
2025-06-09   116.31
2025-06-10   116.31
2025-06-11   116.31
2025-06-12   116.31
2025-06-13   116.31
2025-06-14   116.31
2025-06-15   116.31
2025-06-16   116.31
2025-06-17   116.31
2025-06-18   116.31
2025-06-19   116.31
2025-06-20   116.31
2025-06-21   116.31
2025-06-22   116.31
2025-06-23   116.31
2025-06-24   116.31
